"5773-PVE","3-Year SWMA for PowerVM","1","N/C","","","","","","","",""
"A0NK","Per Proc SW Maint Registration (Medium)","48","174744","","","","","","","",""
"","","","=========","","","",""
"","5773-PVE Price","","174744","","","","","","",""


"*****************************  GRAND TOTALS  *****************************"

"","Hardware Price","","9528278.17"
"","One-time Maintenance","","227"
"","Software OTC","","867163.2"
"","","","========="
"","System Total","","10395668.37"
"","Non-discountable Shipping and Handling Charge","","7487.38"
"","Monthly Maintenance","","","","","","63"

"N/O  - Not Offered"
"N/A  - Price Not Available in Price Database"
"N/C  - No Charge"
"A    - Annual Maintenance Price"
"W/D  - WITHDRAWN"
"F    - ESA 24x7 Full Coverage"
"P    - ESA 9x5 Prime Coverage"

"Parts removed as a result of a model upgrade become the property of IBM."


"************************  ERROR AND WARNING MESSAGES  ***********************"

"INFORMATIONAL:                                                             "
"               **CONFIGURATION CONTAINS AIX AS PRIMARY OPERATING SYSTEM**  "
"               Internal Load Source                                        "
"               Memory Activation                                           "

"Output File Name: DB1_251223.csv"
"","","","HMC 1"

"Date : 12/23/2025","","","","","ECMPWR Version : 31"
"Time : 15:44:55","","","","","Last Build : December 23, 2025"
"CFREPORT :  DB1_251223.cfr"
"Currency : KWON"
"Hardware Price File : KR KWON Thousands won Commercial--POWER 12/23/2025"
"Software Price File : KR KWON Thousands won Commercial--POWER 12//23/2025"

"This configurator is classified for proposal usage for IBM personnel"
"and Business Partners only.  The configurator USER must provide"
"complete and accurate information in order to produce a valid"
"upgrade system order or proposal.  The user will be held responsible"
"for verifying that the price, terms, and conditions are consistent"
"with the current sales manual.  Commitments on prices should not be"
"made without complete verification with the sales manuals. Prices"
"are for your information only and are subject to change. Applicable"
"taxes are not shown."


"*******************************  HARDWARE  *******************************"

"Product","Description","Qty","Purchase","","","","Maint","","","",""

"7063-CR2","HMC 1:Hardware Management Console","1","8688.6","","","","MULT","","","",""
"0964","Hardware Management Console License for CR2","1","0","","","","","","","",""
"4651","Rack Indicator, Rack #1","1","0","","","","","","","",""
"6577","Power Cable - Drawer to IBM PDU, 200-240V/10A","2","122.4","","","","","","","",""
"9069","HMC/Server  Order Linkage Indicator","1","0","","","","","","","",""
"9169","Order Routing Indicator- System Plant","1","0","","","","","","","",""
"9716","Language Group Specify - Korean","1","0","","","","","","","",""
"AKNC","Premium S&H Indicator","1","0","","","","","","","",""
"EB2L","AC Power Supply - 900W","2","2172.4","","","","","","","",""
"EB2T","RAID1 Enabled","1","0","","","","","","","",""
"EBZ1","Front of Panel with 2x USB ports","1","564.8","","","","","","","",""
"EHMD","1.8 TB 10K RPM 4K SAS HDD SFF","2","5205","","","","","","","",""
"EK6K","Integrated Keyboard Specify Korea for Thin-Flat Panel Display (ETF6)","1","16396.6","","","","","","","",""
"EM62","16 GB DDR4 Memory","4","17864","","","","","","","",""
"EP75","6-core 3.0 GHz POWER9 Processor","1","8684.5","","","","","","","",""
"ERK0","Fixed Length Rail Kit for 7063-CR2","1","864.8","","","","","","","",""
"ETF6","IBM Rack-Mounted Flat-Panel Console Kit with Keyboard","1","0","","","","62.87","","","",""
"ETP0","Power Cord 1.83m (6-ft), Drawer to IBM PDU (200-240V/2.5A) for Thin-Flat Panel Display (ETF6)","1","79.6","","","","","","","",""
"","","","=========","","","","=========","","","",""
"","7063-CR2 Price","","60642.7","","","","","","",""
"","One-time Maintenance","","","","","","344","","","",""
"","Monthly Maintenance","","","","","","163.87","","","",""

"","Non-discountable Shipping and Handling Charge","","566.74"

"*******************************  SOFTWARE  *******************************"

"Product","Description","Qty","License","","","","","","","",""

"5773-RS3","MCRSA for HMC - 3-Year","1","N/C","","","","","","","",""
"0569","Per Processor Software Support 3 Year","1","1738.8","","","","","","","",""
"7000","Agreement for MCRSA","1","N/C","","","","","","","",""
"","","","=========","","","",""
"","5773-RS3 Price","","1738.8","","","","","","",""


"*****************************  GRAND TOTALS  *****************************"

"","Hardware Price","","60642.7"
"","One-time Maintenance","","344"
"","Software OTC","","1738.8"
"","","","========="
"","System Total","","62725.5"
"","Non-discountable Shipping and Handling Charge","","566.74"
"","Monthly Maintenance","","","","","","163.87"

"N/O  - Not Offered"
"N/A  - Price Not Available in Price Database"
"N/C  - No Charge"
"A    - Annual Maintenance Price"
"W/D  - WITHDRAWN"
"F    - ESA 24x7 Full Coverage"
"P    - ESA 9x5 Prime Coverage"

"Parts removed as a result of a model upgrade become the property of IBM."


"*****************************  SYSTEM SUMMARY  *****************************"

"Server 1"
"","Hardware Price","","9528278.17"
"","One-time Maintenance","","227"
"","Software OTC","","867163.2"
"","","","========="
"","System Total","","10395668.37"
"","Monthly Maintenance","","","","","","63"

"HMC 1"
"","Hardware Price","","60642.7"
"","One-time Maintenance","","344"
"","Software OTC","","1738.8"
"","","","========="
"","System Total","","62725.5"
"","Monthly Maintenance","","","","","","163.87"



"*****************************  OVERALL ORDER  *****************************"

"","Hardware Price","","9588920.87"
"","One-time Maintenance","","571"
"","Software OTC","","868902"
"","","","========="
"","System Total","","10458393.87"
"","Total Non-discountable Shipping and Handling Charge","","8054.11"
"","Monthly Maintenance","","","","","","226.87"

